竹塘鄉,Tik-tn̂g-hiong
溪州鄉,Khe-tsiu-hiong
南投市,Lâm-tâu-tshī
埔里鎮,Poo-lí-tìn
草屯鎮,Tsháu-tùn-tìn
竹山鎮,Tik-san-tìn
集集鎮,Tsi̍p-tsi̍p-tìn
名間鄉,Bîng-kan-hiong
鹿谷鄉,Lo̍k-kok-hiong
中寮鄉,Tiong-liâu-hiong
魚池鄉,Hî-tî-hiong
國姓鄉,Kok-sìng-hiong
水里鄉,Tsuí-lí-hiong
信義鄉,Sìn-gī-hiong
仁愛鄉,Jîn-ài-hiong
斗六市,Táu-la̍k-tshī
斗南鎮,Táu-lâm-tìn
虎尾鎮,Hóo-bué-tìn
西螺鎮,Sai-lê-tìn
土庫鎮,Thôo-khòo-tìn
北港鎮,Pak-káng-tìn
古坑鄉,Kóo-khenn-hiong
大埤鄉,Tuā-pi-hiong
莿桐鄉,Tshì-tông-hiong
林內鄉,Nâ-lāi-hiong
二崙鄉,Jī-lūn-hiong
崙背鄉,Lūn-puè-hiong
麥寮鄉,Be̍h-liâu-hiong
東勢鄉,Tang-sì-hiong
褒忠鄉,Po-tiong-hiong
臺西鄉,Tâi-se-hiong
元長鄉,Guân-tsióng-hiong
四湖鄉,Sì-ôo-hiong
口湖鄉,Kháu-ôo-hiong
水林鄉,Tsuí-nâ-hiong
太保市,Thài-pó-tshī
朴子市,Phò-tsú-tshī
布袋鎮,Pòo-tē-tìn
大林鎮,Tuā-nâ-tìn
民雄鄉,Bîn-hiông-hiong
溪口鄉,Khe-kháu-hiong
新港鄉,Sin-káng-hiong
六腳鄉,La̍k-kha-hiong
東石鄉,Tang-tsio̍h-hiong
義竹鄉,Gī-tik-hiong
鹿草鄉,Lo̍k-tsháu-hiong
水上鄉,Tsuí-siāng-hiong
中埔鄉,Tiong-poo-hiong
竹崎鄉,Tik-kiā-hiong
梅山鄉,Muî-san-hiong
番路鄉,Huan-lōo-hiong
大埔鄉,Tuā-poo-hiong
阿里山鄉,A-lí-san-hiong
屏東市,Pîn-tong-tshī
